Code;Libellé;Part de la population éloignée de plus de 20 minutes d'au moins un des services de santé de proximité 2021
1001;L'Abergement-Clémenciat;0
1002;L'Abergement-de-Varey;0
1004;Ambérieu-en-Bugey;0
1005;Ambérieux-en-Dombes;0
1006;Ambléon;0
1007;Ambronay;0
1008;Ambutrix;0
1009;Andert-et-Condon;0
1010;Anglefort;0
1011;Apremont;1,7
1012;Aranc;2,6
1013;Arandas;0
1014;Arbent;0
1015;Arboys en Bugey;0
1016;Arbigny;0
1017;Argis;0
1019;Armix;100
1021;Ars-sur-Formans;0
1022;Artemare;0
1023;Asnières-sur-Saône;0
1024;Attignat;0
1025;Bâgé-Dommartin;0,3
1026;Bâgé-le-Châtel;0
1027;Balan;0
1028;Baneins;0
1029;Beaupont;0
1030;Beauregard;0
1031;Bellignat;0
1032;Béligneux;0
1033;Valserhône;0,2
1034;Belley;0
1035;Belleydoux;31,9
1036;Valromey-sur-Séran;10,5
1037;Bénonces;2,3
1038;Bény;0
1040;Béréziat;0
1041;Bettant;0
1042;Bey;0
1043;Beynost;0
1044;Billiat;0,2
1045;Birieux;0
1046;Biziat;0
1047;Blyes;0
1049;La Boisse;0,8
1050;Boissey;0
1051;Bolozon;67,9
1052;Bouligneux;0
1053;Bourg-en-Bresse;0
1054;Bourg-Saint-Christophe;0
1056;Boyeux-Saint-Jérôme;0
1057;Boz;0
1058;Brégnier-Cordon;0
1060;Brénod;0
1061;Brens;0
1062;Bressolles;0
1063;Brion;0
1064;Briord;3,7
1065;Buellas;0
1066;La Burbanche;17,9
1067;Ceignes;2,2
1068;Cerdon;0,3
1069;Certines;0
1071;Cessy;0
1072;Ceyzériat;0
1073;Ceyzérieu;0
1074;Chalamont;0
1075;Chaleins;0
1076;Chaley;0
1077;Challes-la-Montagne;0
1078;Challex;0
1079;Champagne-en-Valromey;10,2
1080;Champdor-Corcelles;0
1081;Champfromier;40,2
1082;Chanay;0
1083;Chaneins;0
1084;Chanoz-Châtenay;0
1085;La Chapelle-du-Châtelard;0
1087;Charix;2,5
1088;Charnoz-sur-Ain;0
1089;Château-Gaillard;0
1090;Châtenay;0
1092;Châtillon-la-Palud;0
1093;Châtillon-sur-Chalaronne;0
1094;Chavannes-sur-Reyssouze;0
1095;Nivigne et Suran;0
1096;Chaveyriat;0
1098;Chazey-Bons;0
1099;Chazey-sur-Ain;0
1100;Cheignieu-la-Balme;0
1101;Chevillard;0
1102;Chevroux;0
1103;Chevry;0
1104;Chézery-Forens;97,2
1105;Civrieux;0
1106;Cize;22
1107;Cleyzieu;0
1108;Coligny;0
1109;Collonges;0
1110;Colomieu;0
1111;Conand;97,1
1112;Condamine;0
1113;Condeissiat;0
1114;Confort;2,6
1115;Confrançon;0,2
1116;Contrevoz;0
1117;Conzieu;0
1118;Corbonod;0
1121;Corlier;0
1123;Cormoranche-sur-Saône;0
1124;Cormoz;1,1
1125;Corveissiat;11,6
1127;Courmangoux;0
1128;Courtes;0
1129;Crans;0
1130;Bresse Vallons;0
1133;Cressin-Rochefort;0
1134;Crottet;0
1135;Crozet;0,2
1136;Cruzilles-lès-Mépillat;0
1138;Culoz-Béon;0
1139;Curciat-Dongalon;0
1140;Curtafond;6,2
1141;Cuzieu;0
1142;Dagneux;0
1143;Divonne-les-Bains;0
1145;Dompierre-sur-Veyle;0
1146;Dompierre-sur-Chalaronne;0
1147;Domsure;0
1148;Dortan;0
1149;Douvres;0
1150;Drom;0
1151;Druillat;0
1152;Échallon;2,5
1153;Échenevex;0
1155;Évosges;0
1156;Faramans;0
1157;Fareins;0
1158;Farges;0
1159;Feillens;0
1160;Ferney-Voltaire;0
1162;Flaxieu;0
1163;Foissiat;0
1165;Francheleins;0
1166;Frans;0
1167;Garnerans;0
1169;Genouilleux;0
1170;Béard-Géovreissiat;0
1171;Géovreisset;0
1173;Gex;0
1174;Giron;100
1175;Gorrevod;0
1177;Grand-Corent;50,6
1179;Grièges;0
1180;Grilly;0
1181;Groissiat;0
1183;Guéreins;0
1184;Hautecourt-Romanèche;0,7
1185;Plateau d'Hauteville;1,6
1187;Haut Valromey;89,3
1188;Illiat;0
1189;Injoux-Génissiat;0
1190;Innimond;100
1191;Izenave;4,7
1192;Izernore;0
1193;Izieu;0
1194;Jassans-Riottier;0
1195;Jasseron;0
1196;Jayat;0
1197;Journans;0
1198;Joyeux;5,1
1199;Jujurieux;0
1200;Labalme;0
1202;Lagnieu;0
1203;Laiz;0
1204;Le Poizat-Lalleyriat;2,5
1206;Lantenay;0
1207;Lapeyrouse;0
1208;Lavours;0
1209;Léaz;0
1210;Lélex;100
1211;Lent;0
1212;Lescheroux;3,1
1213;Leyment;0
1214;Leyssard;0
1215;Surjoux-Lhopital;1
1216;Lhuis;1,4
1219;Lompnas;100
1224;Loyettes;0
1225;Lurcy;0
1227;Magnieu;0
1228;Maillat;0
1229;Malafretaz;0
1230;Mantenay-Montlin;0
1231;Manziat;0
1232;Marboz;0
1233;Marchamp;100
1234;Marignieu;0
1235;Marlieux;0
1236;Marsonnas;0
1237;Martignat;0
1238;Massieux;1,2
1239;Massignieu-de-Rives;0
1240;Matafelon-Granges;3,4
1241;Meillonnas;0
1242;Mérignat;0
1243;Messimy-sur-Saône;0
1244;Meximieux;0
1245;Bohas-Meyriat-Rignat;0
1246;Mézériat;0
1247;Mijoux;61,2
1248;Mionnay;0
1249;Miribel;0
1250;Misérieux;0
1252;Mogneneins;0
1254;Montagnat;0
1255;Montagnieu;0
1257;Montanges;0
1258;Montceaux;0
1259;Montcet;0
1260;Le Montellier;0
1261;Monthieux;0
1262;Montluel;0
1263;Montmerle-sur-Saône;0
1264;Montracol;0
1265;Montréal-la-Cluse;0
1266;Montrevel-en-Bresse;0
1267;Nurieux-Volognat;0
1268;Murs-et-Gélignieux;0
1269;Nantua;0
1272;Neuville-les-Dames;0
1273;Neuville-sur-Ain;0,7
1274;Les Neyrolles;0
1275;Neyron;0
1276;Niévroz;0
1277;Nivollet-Montgriffon;0
1279;Oncieu;0
1280;Ordonnaz;100
1281;Ornex;0
1282;Outriaz;0
1283;Oyonnax;0
1284;Ozan;0
1285;Parcieux;0
1286;Parves et Nattages;0
1288;Péron;0
1289;Péronnas;0
1290;Pérouges;0
1291;Perrex;0
1293;Peyriat;0
1294;Peyrieu;0
1295;Peyzieux-sur-Saône;0
1296;Pirajoux;0
1297;Pizay;0
1298;Plagne;94
1299;Le Plantay;0
1301;Polliat;1
1302;Pollieu;0
1303;Poncin;0
1304;Pont-d'Ain;0
1305;Pont-de-Vaux;0
1306;Pont-de-Veyle;0
1307;Port;0
1308;Pougny;0
1309;Pouillat;4,7
1310;Prémeyzel;0
1311;Prémillieu;2,3
1313;Prévessin-Moëns;0
1314;Priay;0
1317;Ramasse;0
1318;Rancé;0
1319;Relevant;0
1320;Replonges;0
1321;Revonnas;0
1322;Reyrieux;0
1323;Reyssouze;0
1325;Rignieux-le-Franc;0,3
1328;Romans;0
1329;Rossillon;13,4
1330;Ruffieu;40,9
1331;Saint-Alban;0
1332;Saint-André-de-Bâgé;1
1333;Saint-André-de-Corcy;0
1334;Saint-André-d'Huiriat;0
1335;Saint-André-le-Bouchoux;0
1336;Saint-André-sur-Vieux-Jonc;0
1337;Saint-Bénigne;0
1338;Groslée-Saint-Benoit;1,1
1339;Saint-Bernard;0
1342;Sainte-Croix;0
1343;Saint-Cyr-sur-Menthon;0,1
1344;Saint-Denis-lès-Bourg;0
1345;Saint-Denis-en-Bugey;0
1346;Saint-Didier-d'Aussiat;0
1347;Saint-Didier-de-Formans;0
1348;Saint-Didier-sur-Chalaronne;0
1349;Saint-Éloi;0
1350;Saint-Étienne-du-Bois;0
1351;Saint-Étienne-sur-Chalaronne;0
1352;Saint-Étienne-sur-Reyssouze;0
1353;Sainte-Euphémie;0
1354;Saint-Genis-Pouilly;0
1355;Saint-Genis-sur-Menthon;4,3
1356;Saint-Georges-sur-Renon;0
1357;Saint-Germain-de-Joux;5
1358;Saint-Germain-les-Paroisses;0
1359;Saint-Germain-sur-Renon;0
1360;Saint-Jean-de-Gonville;0
1361;Saint-Jean-de-Niost;0
1362;Saint-Jean-de-Thurigneux;0
1363;Saint-Jean-le-Vieux;0
1364;Saint-Jean-sur-Reyssouze;0
