codegeo;libgeo;Gagnant;pop1-0;nb_ecoles_publique1-0;nb_ecoles_publique/pop1-0;nb_ecoles_prive1-0;nb/ecoles_prive/pop1-0;nb_ecoles_totale1-0;nb_ecoles_totale/pop1-0;Part de la population éloignée de plus de 20 minutes d'au moins un des services de santé de proximité 2021  1-0;somme_tauxpourmille_crime 1-0;Taux_Chomage 1-0;Points;Points 0-1
1001;L'Abergement-Clémenciat;LE PEN;0,001303429;0;0,009522353;0;0;0,003558719;0,006925348;0;1;0,116333725;1,134084855;0,275734823
1002;L'Abergement-de-Varey;LE PEN;0,000272379;0;0,045508041;0;0;0,003558719;0,033096757;0;0,53165195;0,111633373;0,7221625;0,175582407
1004;Ambérieu-en-Bugey;LE PEN;1,45E-05;0;0;0;0;0;0;0;0,530068949;0,0693302;0,599413652;0,145737963
1005;Ambérieux-en-Dombes;LE PEN;0,000123273;0;0,100351047;0;0;0,003558719;0,07298258;0;0,386053498;0,145710928;0,705221326;0,171463428
1006;Ambléon;MÉLENCHON;8,34E-05;0;0;0;0;0;0;0,042;0,292716449;0,091656874;0,426456714;0,103686215
1007;Ambronay;LE PEN;5,44E-05;0;0;0;0;0;0;0;0,284032355;0,057579318;0,341666058;0,083070706
1008;Ambutrix;LE PEN;9,79E-05;0;0;0;0;0;0;0;0,232615728;0,068155112;0,300868733;0,073151481
1009;Andert-et-Condon;MACRON;0,001590311;0,03;0,046830492;0;0;0,021352313;0,03405854;0,344;0,221743165;0,021151586;0,669374094;0,16274774
1010;Anglefort;LE PEN;0,000288694;0;0,042940175;0;0;0,003558719;0,031229218;0;0,212840812;0,07520564;0,362504539;0,088137254
1011;Apremont;LE PEN;1,68E-05;0;0;0;0;0;0;1;0,199126431;0,10693302;1,30607622;0,317551807
1012;Aranc;MÉLENCHON;5,39E-05;0;0;0;0;0;0;0;0,195217209;0,143360752;0,338631893;0,082332997
1013;Arandas;LE PEN;8,16E-05;0;0;0;0;0;0;0;0,189755985;0,090481786;0,280319349;0,068155223
