codegeo;libgeo;nb_ecoles_publique;nb_ecoles_prive;nb_ecoles_totale;Part de la population éloignée de plus de 20 minutes d'au moins un des services de santé de proximité 2021;somme_tauxpourmille;Gagnant
1001;L'Abergement-Clémenciat;1.0;0.0;1.0;0;0.0;LE PEN
1002;L'Abergement-de-Varey;0.0;0.0;0.0;0;0.0;LE PEN
1004;Ambérieu-en-Bugey;3.0;1.0;4.0;0;145.79037999258875;LE PEN
1005;Ambérieux-en-Dombes;1.0;0.0;1.0;0;43.606563836744;LE PEN
1006;Ambléon;0.0;0.0;0.0;0;0.0;MÉLENCHON
1007;Ambronay;1.0;0.0;1.0;0;65.73471984562646;LE PEN
1008;Ambutrix;1.0;0.0;1.0;0;0.0;LE PEN
1009;Andert-et-Condon;0.0;0.0;0.0;0;0.0;MACRON
1010;Anglefort;1.0;0.0;1.0;0;0.0;LE PEN
1011;Apremont;1.0;0.0;1.0;1,7;0.0;LE PEN
1012;Aranc;1.0;0.0;1.0;2,6;0.0;MÉLENCHON
1013;Arandas;1.0;0.0;1.0;0;0.0;LE PEN
1014;Arbent;2.0;0.0;2.0;0;71.4907171565586;MACRON
1015;Arboys en Bugey;1.0;0.0;1.0;0;0.0;MACRON
1016;Arbigny;0.0;0.0;0.0;0;0.0;LE PEN
1017;Argis;1.0;0.0;1.0;0;0.0;LE PEN
1019;Armix;0.0;0.0;0.0;100;0.0;LE PEN
1021;Ars-sur-Formans;1.0;1.0;2.0;0;17.62595535020143;FILLON
1022;Artemare;1.0;0.0;1.0;0;15.41903769866761;LE PEN
1023;Asnières-sur-Saône;0.0;0.0;0.0;0;0.0;LE PEN
1024;Attignat;1.0;1.0;2.0;0;44.65830773021481;LE PEN
1025;Bâgé-Dommartin;2.0;0.0;2.0;0,3;24.14425521367751;LE PEN
1026;Bâgé-le-Châtel;1.0;0.0;1.0;0;20.660829203890856;MACRON
1027;Balan;1.0;0.0;1.0;0;66.90201708137305;LE PEN
1028;Baneins;1.0;0.0;1.0;0;0.0;LE PEN
1029;Beaupont;1.0;0.0;1.0;0;0.0;LE PEN
1030;Beauregard;1.0;0.0;1.0;0;26.786034025325083;LE PEN
1031;Bellignat;2.0;0.0;2.0;0;117.44473202649016;LE PEN
1032;Béligneux;1.0;0.0;1.0;0;100.06823218428347;LE PEN
1033;Valserhône;8.0;0.0;8.0;0,2;137.35232342527556;MACRON
1034;Belley;2.0;1.0;3.0;0;119.85144496899804;MACRON
1035;Belleydoux;0.0;0.0;0.0;31,9;0.0;LE PEN
1036;Valromey-sur-Séran;0.0;0.0;0.0;10,5;0.0;MÉLENCHON
1037;Bénonces;1.0;0.0;1.0;2,3;0.0;FILLON
1038;Bény;1.0;0.0;1.0;0;19.63350785340314;FILLON
1040;Béréziat;1.0;0.0;1.0;0;0.0;LE PEN
1041;Bettant;1.0;0.0;1.0;0;0.0;LE PEN
1042;Bey;0.0;0.0;0.0;0;0.0;FILLON
1043;Beynost;1.0;0.0;1.0;0;138.77841989966285;MACRON
1044;Billiat;1.0;0.0;1.0;0,2;0.0;LE PEN
1045;Birieux;0.0;0.0;0.0;0;0.0;LE PEN
1046;Biziat;1.0;0.0;1.0;0;0.0;LE PEN
1047;Blyes;1.0;0.0;1.0;0;0.0;LE PEN
1049;La Boisse;1.0;0.0;1.0;0,8;108.15493221842448;LE PEN
1050;Boissey;1.0;0.0;1.0;0;0.0;LE PEN
1051;Bolozon;0.0;0.0;0.0;67,9;0.0;LE PEN
1052;Bouligneux;0.0;0.0;0.0;0;0.0;FILLON
1053;Bourg-en-Bresse;15.0;4.0;19.0;0;170.48811614806235;MACRON
1054;Bourg-Saint-Christophe;1.0;0.0;1.0;0;44.421163005111765;LE PEN
1056;Boyeux-Saint-Jérôme;0.0;0.0;0.0;0;0.0;LE PEN
1057;Boz;1.0;0.0;1.0;0;0.0;LE PEN
1058;Brégnier-Cordon;1.0;0.0;1.0;0;0.0;LE PEN
