codgeo;libgeo;an;secteur_ensgn;nb_etab_elem
01001;L'Abergement-Clémenciat;2019;PUBLIC;1
01002;L'Abergement-de-Varey;;;
01004;Ambérieu-en-Bugey;2019;PRIVE;1
01004;Ambérieu-en-Bugey;2019;PUBLIC;3
01005;Ambérieux-en-Dombes;2019;PUBLIC;1
01006;Ambléon;;;
01007;Ambronay;2019;PUBLIC;1
01008;Ambutrix;2019;PUBLIC;1
01009;Andert-et-Condon;;;
01010;Anglefort;2019;PUBLIC;1
01011;Apremont;2019;PUBLIC;1
01012;Aranc;2019;PUBLIC;1
01013;Arandas;2019;PUBLIC;1
01014;Arbent;2019;PUBLIC;2
01015;Arboys en Bugey;2019;PUBLIC;1
01016;Arbigny;;;
01017;Argis;2019;PUBLIC;1
01019;Armix;;;
01021;Ars-sur-Formans;2019;PRIVE;1
01021;Ars-sur-Formans;2019;PUBLIC;1
01022;Artemare;2019;PUBLIC;1
01023;Asnières-sur-Saône;;;
01024;Attignat;2019;PRIVE;1
01024;Attignat;2019;PUBLIC;1
01025;Bâgé-Dommartin;2019;PUBLIC;2
01026;Bâgé-le-Châtel;2019;PUBLIC;1
01027;Balan;2019;PUBLIC;1
01028;Baneins;2019;PUBLIC;1
01029;Beaupont;2019;PUBLIC;1
01030;Beauregard;2019;PUBLIC;1
01031;Bellignat;2019;PUBLIC;2
01032;Béligneux;2019;PUBLIC;1
01033;Valserhône;2019;PUBLIC;8
01034;Belley;2019;PRIVE;1
01034;Belley;2019;PUBLIC;2
01035;Belleydoux;;;
01036;Valromey-sur-Séran;;;
01037;Bénonces;2019;PUBLIC;1
01038;Bény;2019;PUBLIC;1
01040;Béréziat;2019;PUBLIC;1
01041;Bettant;2019;PUBLIC;1
01042;Bey;;;
01043;Beynost;2019;PUBLIC;1
01044;Billiat;2019;PUBLIC;1
01045;Birieux;;;
01046;Biziat;2019;PUBLIC;1
01047;Blyes;2019;PUBLIC;1
01049;La Boisse;2019;PUBLIC;1
01050;Boissey;2019;PUBLIC;1
01051;Bolozon;;;
01052;Bouligneux;;;
01053;Bourg-en-Bresse;2019;PRIVE;4
