codgeo;libgeo;nb_ecoles_publique;nb_ecoles_prive;nb_ecoles_totale
01001;L'Abergement-Clémenciat;1;0;1
01002;L'Abergement-de-Varey;0;0;0
01004;Ambérieu-en-Bugey;3;1;4
01005;Ambérieux-en-Dombes;1;0;1
01006;Ambléon;0;0;0
01007;Ambronay;1;0;1
01008;Ambutrix;1;0;1
01009;Andert-et-Condon;0;0;0
01010;Anglefort;1;0;1
01011;Apremont;1;0;1
01012;Aranc;1;0;1
01013;Arandas;1;0;1
01014;Arbent;2;0;2
01015;Arboys en Bugey;1;0;1
01016;Arbigny;0;0;0
01017;Argis;1;0;1
01019;Armix;0;0;0
01021;Ars-sur-Formans;1;1;2
01022;Artemare;1;0;1
01023;Asnières-sur-Saône;0;0;0
01024;Attignat;1;1;2
01025;Bâgé-Dommartin;2;0;2
01026;Bâgé-le-Châtel;1;0;1
01027;Balan;1;0;1
01028;Baneins;1;0;1
01029;Beaupont;1;0;1
01030;Beauregard;1;0;1
01031;Bellignat;2;0;2
01032;Béligneux;1;0;1
01033;Valserhône;8;0;8
01034;Belley;2;1;3
01035;Belleydoux;0;0;0
01036;Valromey-sur-Séran;0;0;0
01037;Bénonces;1;0;1
01038;Bény;1;0;1
01040;Béréziat;1;0;1
01041;Bettant;1;0;1
01042;Bey;0;0;0
01043;Beynost;1;0;1
01044;Billiat;1;0;1
01045;Birieux;0;0;0
01046;Biziat;1;0;1
01047;Blyes;1;0;1
01049;La Boisse;1;0;1
01050;Boissey;1;0;1
01051;Bolozon;0;0;0
01052;Bouligneux;0;0;0
01053;Bourg-en-Bresse;15;4;19
01054;Bourg-Saint-Christophe;1;0;1
01056;Boyeux-Saint-Jérôme;0;0;0
01057;Boz;1;0;1
01058;Brégnier-Cordon;1;0;1
01060;Brénod;1;0;1
01061;Brens;1;0;1
01062;Bressolles;1;0;1
01063;Brion;1;0;1
01064;Briord;1;0;1
01065;Buellas;1;0;1
01066;La Burbanche;0;0;0
01067;Ceignes;0;0;0
01068;Cerdon;1;0;1
01069;Certines;1;0;1
01071;Cessy;1;0;1
01072;Ceyzériat;1;0;1
01073;Ceyzérieu;1;0;1
01074;Chalamont;1;0;1
01075;Chaleins;1;0;1
01076;Chaley;0;0;0
01077;Challes-la-Montagne;0;0;0
01078;Challex;1;0;1
01079;Champagne-en-Valromey;1;1;2
01080;Champdor-Corcelles;1;0;1
01081;Champfromier;1;0;1
01082;Chanay;1;0;1
01083;Chaneins;1;0;1
01084;Chanoz-Châtenay;1;0;1
01085;La Chapelle-du-Châtelard;0;0;0
01087;Charix;1;0;1
01088;Charnoz-sur-Ain;1;0;1
01089;Château-Gaillard;1;0;1
01090;Châtenay;1;0;1
01092;Châtillon-la-Palud;1;0;1
01093;Châtillon-sur-Chalaronne;1;1;2
01094;Chavannes-sur-Reyssouze;1;0;1
01095;Nivigne et Suran;1;0;1
01096;Chaveyriat;1;0;1
01098;Chazey-Bons;1;0;1
01099;Chazey-sur-Ain;1;0;1
01100;Cheignieu-la-Balme;0;0;0
01101;Chevillard;0;0;0
01102;Chevroux;1;0;1
01103;Chevry;1;1;2
01104;Chézery-Forens;1;0;1
01105;Civrieux;1;0;1
01106;Cize;0;0;0
01107;Cleyzieu;0;0;0
01108;Coligny;1;0;1
01109;Collonges;1;0;1
01110;Colomieu;0;0;0
01111;Conand;0;0;0
01112;Condamine;1;0;1
01113;Condeissiat;1;0;1
01114;Confort;1;0;1
01115;Confrançon;1;0;1
01116;Contrevoz;1;0;1
01117;Conzieu;0;0;0
01118;Corbonod;1;0;1
01121;Corlier;0;0;0
01123;Cormoranche-sur-Saône;1;0;1
01124;Cormoz;1;0;1
01125;Corveissiat;1;0;1
01127;Courmangoux;0;0;0
01128;Courtes;0;0;0
01129;Crans;0;0;0
01130;Bresse Vallons;2;0;2
01133;Cressin-Rochefort;1;0;1
01134;Crottet;1;0;1
01135;Crozet;1;0;1
01136;Cruzilles-lès-Mépillat;1;0;1
01138;Culoz-Béon;2;0;2
01139;Curciat-Dongalon;1;0;1
01140;Curtafond;1;0;1
01141;Cuzieu;0;0;0
01142;Dagneux;1;1;2
01143;Divonne-les-Bains;3;0;3
01145;Dompierre-sur-Veyle;1;0;1
01146;Dompierre-sur-Chalaronne;0;0;0
01147;Domsure;1;0;1
01148;Dortan;1;0;1
01149;Douvres;1;0;1
01150;Drom;1;0;1
01151;Druillat;1;0;1
01152;Échallon;1;0;1
01153;Échenevex;1;0;1
01155;Évosges;1;0;1
01156;Faramans;1;0;1
01157;Fareins;1;0;1
01158;Farges;1;0;1
01159;Feillens;1;1;2
01160;Ferney-Voltaire;3;1;4
01162;Flaxieu;0;0;0
01163;Foissiat;1;0;1
01165;Francheleins;1;0;1
01166;Frans;1;0;1
01167;Garnerans;1;0;1
01169;Genouilleux;1;0;1
01170;Béard-Géovreissiat;1;0;1
01171;Géovreisset;0;0;0
01173;Gex;3;1;4
01174;Giron;0;0;0
01175;Gorrevod;1;0;1
01177;Grand-Corent;0;0;0
01179;Grièges;1;1;2
01180;Grilly;0;0;0
01181;Groissiat;1;0;1
01183;Guéreins;1;1;2
01184;Hautecourt-Romanèche;1;0;1
01185;Plateau d'Hauteville;3;0;3
01187;Haut Valromey;1;0;1
01188;Illiat;1;0;1
01189;Injoux-Génissiat;1;0;1
01190;Innimond;0;0;0
01191;Izenave;1;0;1
01192;Izernore;1;0;1
01193;Izieu;0;0;0
01194;Jassans-Riottier;2;0;2
01195;Jasseron;1;0;1
01196;Jayat;1;0;1
01197;Journans;1;0;1
01198;Joyeux;1;0;1
01199;Jujurieux;1;1;2
01200;Labalme;1;0;1
01202;Lagnieu;2;1;3
01203;Laiz;1;0;1
01204;Le Poizat-Lalleyriat;1;0;1
01206;Lantenay;0;0;0
01207;Lapeyrouse;0;0;0
01208;Lavours;0;0;0
01209;Léaz;1;0;1
01210;Lélex;1;0;1
01211;Lent;1;0;1
01212;Lescheroux;0;0;0
01213;Leyment;1;0;1
01214;Leyssard;0;0;0
01215;Surjoux-Lhopital;0;0;0
01216;Lhuis;1;0;1
01219;Lompnas;1;0;1
01224;Loyettes;1;0;1
01225;Lurcy;0;0;0
01227;Magnieu;0;0;0
01228;Maillat;1;0;1
01229;Malafretaz;1;0;1
01230;Mantenay-Montlin;0;0;0
01231;Manziat;1;1;2
01232;Marboz;1;1;2
01233;Marchamp;0;0;0
01234;Marignieu;0;0;0
01235;Marlieux;1;0;1
01236;Marsonnas;1;0;1
01237;Martignat;1;0;1
01238;Massieux;1;0;1
01239;Massignieu-de-Rives;1;0;1
01240;Matafelon-Granges;1;0;1
01241;Meillonnas;1;0;1
01242;Mérignat;0;0;0
01243;Messimy-sur-Saône;1;0;1
01244;Meximieux;3;1;4
01245;Bohas-Meyriat-Rignat;0;0;0
01246;Mézériat;1;0;1
01247;Mijoux;1;0;1
01248;Mionnay;1;0;1
01249;Miribel;4;1;5
01250;Misérieux;1;0;1
01252;Mogneneins;1;0;1
01254;Montagnat;1;0;1
01255;Montagnieu;1;0;1
01257;Montanges;1;0;1
01258;Montceaux;1;0;1
01259;Montcet;1;0;1
01260;Le Montellier;1;0;1
01261;Monthieux;1;0;1
01262;Montluel;2;1;3
01263;Montmerle-sur-Saône;1;1;2
01264;Montracol;1;0;1
01265;Montréal-la-Cluse;1;0;1
01266;Montrevel-en-Bresse;1;0;1
01267;Nurieux-Volognat;1;0;1
01268;Murs-et-Gélignieux;0;0;0
01269;Nantua;1;1;2
01272;Neuville-les-Dames;1;0;1
01273;Neuville-sur-Ain;1;0;1
01274;Les Neyrolles;1;0;1
01275;Neyron;1;0;1
01276;Niévroz;1;0;1
01277;Nivollet-Montgriffon;0;0;0
01279;Oncieu;0;0;0
01280;Ordonnaz;0;0;0
01281;Ornex;2;0;2
01282;Outriaz;1;0;1
01283;Oyonnax;8;1;9
01284;Ozan;1;0;1
01285;Parcieux;1;0;1
01286;Parves et Nattages;1;0;1
01288;Péron;1;0;1
01289;Péronnas;1;0;1
01290;Pérouges;1;0;1
01291;Perrex;1;0;1
01293;Peyriat;0;0;0
01294;Peyrieu;1;0;1
01295;Peyzieux-sur-Saône;1;0;1
01296;Pirajoux;0;0;0
01297;Pizay;0;0;0
01298;Plagne;0;0;0
01299;Le Plantay;1;0;1
01301;Polliat;1;0;1
01302;Pollieu;0;0;0
01303;Poncin;1;0;1
01304;Pont-d'Ain;1;0;1
01305;Pont-de-Vaux;1;0;1
01306;Pont-de-Veyle;1;0;1
01307;Port;1;0;1
01308;Pougny;1;0;1
01309;Pouillat;0;0;0
01310;Prémeyzel;0;0;0
01311;Prémillieu;0;0;0
01313;Prévessin-Moëns;3;0;3
01314;Priay;1;0;1
01317;Ramasse;0;0;0
01318;Rancé;1;0;1
01319;Relevant;1;0;1
01320;Replonges;1;1;2
01321;Revonnas;1;0;1
01322;Reyrieux;1;1;2
01323;Reyssouze;0;0;0
01325;Rignieux-le-Franc;1;0;1
01328;Romans;1;0;1
01329;Rossillon;0;0;0
01330;Ruffieu;0;0;0
01331;Saint-Alban;0;0;0
01332;Saint-André-de-Bâgé;1;0;1
01333;Saint-André-de-Corcy;1;0;1
01334;Saint-André-d'Huiriat;0;0;0
01335;Saint-André-le-Bouchoux;0;0;0
01336;Saint-André-sur-Vieux-Jonc;1;0;1
01337;Saint-Bénigne;1;0;1
01338;Groslée-Saint-Benoit;2;0;2
01339;Saint-Bernard;1;0;1
01342;Sainte-Croix;1;0;1
01343;Saint-Cyr-sur-Menthon;1;0;1
01344;Saint-Denis-lès-Bourg;1;0;1
01345;Saint-Denis-en-Bugey;1;0;1
01346;Saint-Didier-d'Aussiat;1;0;1
01347;Saint-Didier-de-Formans;1;0;1
01348;Saint-Didier-sur-Chalaronne;1;1;2
01349;Saint-Éloi;0;0;0
01350;Saint-Étienne-du-Bois;1;1;2
01351;Saint-Étienne-sur-Chalaronne;1;0;1
01352;Saint-Étienne-sur-Reyssouze;0;0;0
01353;Sainte-Euphémie;1;0;1
01354;Saint-Genis-Pouilly;5;0;5
01355;Saint-Genis-sur-Menthon;1;0;1
01356;Saint-Georges-sur-Renon;0;0;0
01357;Saint-Germain-de-Joux;1;0;1
01358;Saint-Germain-les-Paroisses;1;0;1
01359;Saint-Germain-sur-Renon;0;0;0
01360;Saint-Jean-de-Gonville;1;0;1
01361;Saint-Jean-de-Niost;1;0;1
01362;Saint-Jean-de-Thurigneux;1;0;1
01363;Saint-Jean-le-Vieux;1;0;1
01364;Saint-Jean-sur-Reyssouze;1;0;1
01365;Saint-Jean-sur-Veyle;1;0;1
01366;Sainte-Julie;1;0;1
01367;Saint-Julien-sur-Reyssouze;1;0;1
01368;Saint-Julien-sur-Veyle;1;0;1
01369;Saint-Just;1;0;1
01370;Saint-Laurent-sur-Saône;1;0;1
01371;Saint-Marcel;1;0;1
01372;Saint-Martin-de-Bavel;1;0;1
01373;Saint-Martin-du-Frêne;1;0;1
01374;Saint-Martin-du-Mont;1;0;1
01375;Saint-Martin-le-Châtel;1;0;1
01376;Saint-Maurice-de-Beynost;1;0;1
01378;Saint-Maurice-de-Gourdans;1;0;1
01379;Saint-Maurice-de-Rémens;1;0;1
01380;Saint-Nizier-le-Bouchoux;1;0;1
01381;Saint-Nizier-le-Désert;0;0;0
01382;Sainte-Olive;0;0;0
01383;Saint-Paul-de-Varax;1;0;1
01384;Saint-Rambert-en-Bugey;1;0;1
01385;Saint-Rémy;1;0;1
01386;Saint-Sorlin-en-Bugey;1;0;1
01387;Saint-Sulpice;0;0;0
01388;Saint-Trivier-de-Courtes;1;0;1
01389;Saint-Trivier-sur-Moignans;1;0;1
