CodeInsee;Gagnant
64001;MACRON
55001;LE PEN
59001;LE PEN
60001;LE PEN
54001;LE PEN
55002;LE PEN
25001;LE PEN
25002;MACRON
44001;FILLON
60002;LE PEN
2001;LE PEN
25003;LE PEN
80001;LE PEN
91001;LE PEN
54002;MÉLENCHON
25004;LE PEN
60003;LE PEN
34001;LE PEN
70001;LE PEN
64002;MACRON
39001;LE PEN
39002;MACRON
39003;MÉLENCHON
39004;FILLON
64003;MÉLENCHON
37001;LE PEN
64004;LE PEN
24001;FILLON
80002;LE PEN
62001;LE PEN
62002;LE PEN
51001;LE PEN
95002;LE PEN
78003;MACRON
14001;LE PEN
94001;MACRON
42001;LE PEN
54003;FILLON
57001;LE PEN
70002;LE PEN
57002;LE PEN
74001;FILLON
28001;LE PEN
64005;MACRON
57003;LE PEN
3001;LE PEN
5001;MÉLENCHON
59002;LE PEN
16001;LE PEN
33001;LE PEN
25005;LE PEN
7001;MACRON
64006;MÉLENCHON
57004;LE PEN
57006;LE PEN
67001;FILLON
18001;LE PEN
78005;MÉLENCHON
77001;FILLON
2002;LE PEN
80003;LE PEN
80004;LE PEN
62003;LE PEN
70003;LE PEN
62004;LE PEN
62005;LE PEN
62006;LE PEN
58001;LE PEN
60004;LE PEN
35001;MACRON
27001;LE PEN
27002;LE PEN
62007;FILLON
14002;LE PEN
27003;LE PEN
62008;LE PEN
2003;LE PEN
60005;LE PEN
8001;LE PEN
57007;LE PEN
78006;FILLON
25006;LE PEN
25007;LE PEN
67002;LE PEN
65001;LE PEN
65002;MACRON
57008;LE PEN
70004;LE PEN
65003;MÉLENCHON
79002;FILLON
62009;LE PEN
34002;LE PEN
45001;LE PEN
86001;MACRON
19001;MACRON
54004;LE PEN
69001;LE PEN
54005;LE PEN
62010;LE PEN
31001;MÉLENCHON
34003;LE PEN
34004;MÉLENCHON
47001;MACRON
21001;LE PEN
12001;MACRON
80005;LE PEN
80006;LE PEN
52001;LE PEN
21002;MACRON
54006;FILLON
47002;FILLON
47003;LE PEN
